DocID,StoreCode,ProductItemCode,ProductCode,Date,ReturnFlag,Time,Quantity,Amount,DiscountAmount,ChangeCardFlag
1,1837,M100462-80835007,M100462-80835,18.02.2024,1,1736,-2,"-1396,35","-349,09091",0
2,1851,M100462-80835007,M100462-80835,07.04.2024,0,1853,2,"999,99","745,44545",0
3,1666,M100462-80835007,M100462-80835,04.02.2024,0,1603,2,"1396,35","349,09091",0
4,1666,M100462-80835007,M100462-80835,02.02.2024,0,1956,2,"1396,35","349,09091",0
5,1673,M101437-80890010,M101437-80890,17.02.2024,1,1203,-1,"-581,81","-145,45455",0
6,1666,M100462-80835007,M100462-80835,03.04.2024,1,1219,-1,"-698,17","-174,54545",0
7,1666,M100462-80835007,M100462-80835,15.05.2024,1,2022,-1,"-698,18","-174,54545",0
8,1744,M1010152-81461109,M1010152-81461,02.04.2024,1,1832,-1,"-318,18","-281,80909",0
9,1593,M101441-86391041,M101441-86391,11.05.2024,1,1647,-1,"-636,35","-272,72727",0
10,1851,M100462-80835007,M100462-80835,07.04.2024,1,1853,-1,"-527,46","-345,25455",0
11,1918,M101077-80984035,M101077-80984,15.05.2024,1,1359,-1,"-318,18","-199,99091",0
12,1555,M100462-80835007,M100462-80835,13.05.2024,1,1319,-1,"-499,99","-372,72727",0
13,1919,M101437-80890010,M101437-80890,31.03.2024,1,1504,-1,"-581,81","-145,45455",0
14,1680,M1010593-86722023,M1010593-86722,12.04.2024,1,2008,-1,"-529,41","-288,76364",0
15,1922,M1010152-81461109,M1010152-81461,15.05.2024,1,1622,-1,"-427,77","-183,33333",0
16,1874,M101225-83035036,M101225-83035,17.02.2024,1,1341,-1,"-604,13","-177,68182",0
17,1619,M100462-80835007,M100462-80835,11.04.2024,1,1522,-1,"-590,9","-281,81818",0
18,1818,M100462-80835007,M100462-80835,27.02.2024,1,1209,-1,"-698,17","-174,54545",0
19,1734,M1010593-86722023,M1010593-86722,22.03.2024,1,1608,-1,"-654,54","-163,63636",0
20,1517,M1010627-87211028,M1010627-87211,31.03.2024,1,1653,-1,"-636,35","-272,72727",0
21,1908,M101077-32048009,M101077-32048,10.02.2024,1,1305,-1,"-509,08","-127,27273",0
22,1605,M101437-80890010,M101437-80890,10.02.2024,1,1525,-1,"-581,81","-145,45455",0
23,1619,M101441-83663008,M101441-83663,25.03.2024,1,1024,-1,"-479,99",-120,0
24,1579,M101225-83035036,M101225-83035,14.04.2024,1,1431,-1,"-593,42","-188,39091",0
25,1755,M100462-80835007,M100462-80835,21.04.2024,1,1234,-1,"-527,46","-345,25455",0
26,1734,M1010125-84418043,M1010125-84418,16.02.2024,1,1415,-1,"-479,99",-120,0
28,1803,M1010627-87211028,M1010627-87211,20.03.2024,1,1407,-1,"-636,35","-272,72727",0
29,1630,M1010627-87211028,M1010627-87211,03.04.2024,1,1549,-1,"-636,35","-272,72727",0
30,1578,M1010627-87211028,M1010627-87211,11.04.2024,1,2114,-1,"-636,35","-272,72727",0
31,1753,M100277-35250017,M100277-35250,28.02.2024,1,1558,-1,"-572,72","-245,45455",0
32,1659,M100277-35250017,M100277-35250,08.05.2024,1,1558,-1,"-572,72","-245,45455",0
